comparison,time_scale,data_source,log_like,iteration
gen_total_bio_total,total_years,simulation,-47054.551377129,40
gen_annual_bio_annual,annual,simulation,-41666.9089801896,40
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14435.5380633905,40
gen_monsoonal_bio_total,monsoonal,simulation,-29828.2348337631,40
gen_total_bio_total,total_years,simulation_subsample,-13687.7197642606,40
gen_annual_bio_annual,annual,simulation_subsample,-5316.56343405419,40
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1983.05301490608,40
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8552.08390455564,40
gen_total_bio_total,total_years,simulation,-43603.3189753822,41
gen_annual_bio_annual,annual,simulation,-40286.0487666487,41
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-11186.106069034,41
gen_monsoonal_bio_total,monsoonal,simulation,-29110.3991501858,41
gen_total_bio_total,total_years,simulation_subsample,-13613.2311456087,41
gen_annual_bio_annual,annual,simulation_subsample,-5704.44596929685,41
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1663.56548806559,41
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9271.04321510208,41
gen_total_bio_total,total_years,simulation,-42161.1441613232,42
gen_annual_bio_annual,annual,simulation,-38965.6475639599,42
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13994.4471182839,42
gen_monsoonal_bio_total,monsoonal,simulation,-28460.5797936655,42
gen_total_bio_total,total_years,simulation_subsample,-11961.4763285074,42
gen_annual_bio_annual,annual,simulation_subsample,-5172.36905424747,42
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1967.09183663497,42
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8299.63817598602,42
gen_total_bio_total,total_years,simulation,-44966.5350074917,43
gen_annual_bio_annual,annual,simulation,-39089.6677831424,43
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12886.7947131659,43
gen_monsoonal_bio_total,monsoonal,simulation,-28359.3856249657,43
gen_total_bio_total,total_years,simulation_subsample,-13310.897584297,43
gen_annual_bio_annual,annual,simulation_subsample,-5603.14443625049,43
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2052.61062323028,43
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8074.59135927547,43
gen_total_bio_total,total_years,simulation,-48023.186987599,44
gen_annual_bio_annual,annual,simulation,-40270.5837050627,44
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14305.8371098102,44
gen_monsoonal_bio_total,monsoonal,simulation,-32943.2172280852,44
gen_total_bio_total,total_years,simulation_subsample,-10361.4403397981,44
gen_annual_bio_annual,annual,simulation_subsample,-5610.18873964209,44
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1759.15716579111,44
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7335.91039582665,44
gen_total_bio_total,total_years,simulation,-43998.0648620509,45
