comparison,time_scale,log_like,iteration
gen_total_bio_total,total_years,-37885.3204031412,100
gen_monsoonal_bio_total,monsoonal,-15545.9301294044,101
gen_annual_bio_annual,annual,-23103.6153786691,101
gen_monsoonal_bio_monsoonal,total_monsoons,-24617.9295188996,101
gen_total_bio_total,total_years,-39393.5091930461,101
gen_monsoonal_bio_total,monsoonal,-14186.4099565669,102
gen_monsoonal_bio_monsoonal,total_monsoons,-25132.4533821802,102
gen_annual_bio_annual,annual,-27407.5649198586,102
gen_total_bio_total,total_years,-28377.0402678949,102
gen_monsoonal_bio_total,monsoonal,-13414.632094885,103
gen_monsoonal_bio_monsoonal,total_monsoons,-23011.2007659859,103
gen_annual_bio_annual,annual,-27130.7001126975,103
gen_total_bio_total,total_years,-29543.1406690063,103
gen_monsoonal_bio_total,monsoonal,-14477.6215244351,104
gen_monsoonal_bio_monsoonal,total_monsoons,-23876.1035539571,104
gen_annual_bio_annual,annual,-26434.0561265662,104
gen_total_bio_total,total_years,-39669.2090288949,104
gen_monsoonal_bio_total,monsoonal,-12625.1509391718,105
gen_monsoonal_bio_monsoonal,total_monsoons,-22326.300905035,105
gen_annual_bio_annual,annual,-28472.1838047447,105
gen_total_bio_total,total_years,-38893.8793987117,105
gen_monsoonal_bio_total,monsoonal,-15604.7218523171,106
gen_monsoonal_bio_monsoonal,total_monsoons,-26634.2793941521,106
gen_annual_bio_annual,annual,-26732.0736666045,106
gen_total_bio_total,total_years,-39380.893887926,106
gen_monsoonal_bio_total,monsoonal,-15282.8909969583,107
gen_monsoonal_bio_monsoonal,total_monsoons,-25724.218628783,107
gen_annual_bio_annual,annual,-26296.5765437458,107
gen_total_bio_total,total_years,-37052.3127605237,107
gen_monsoonal_bio_total,monsoonal,-13158.9580970959,108
gen_monsoonal_bio_monsoonal,total_monsoons,-23791.8074220155,108
gen_annual_bio_annual,annual,-24989.7325459795,108
gen_total_bio_total,total_years,-28927.9624060777,108
gen_monsoonal_bio_total,monsoonal,-12732.4361264317,109
gen_monsoonal_bio_monsoonal,total_monsoons,-23125.1012935377,109
gen_annual_bio_annual,annual,-28365.4255242959,109
gen_total_bio_total,total_years,-29976.9589165832,109
gen_monsoonal_bio_total,monsoonal,-17670.7245783879,110
gen_annual_bio_annual,annual,-27538.2611917064,110
gen_monsoonal_bio_monsoonal,total_monsoons,-29813.7531935186,110
gen_total_bio_total,total_years,-41488.1314962028,110
gen_monsoonal_bio_total,monsoonal,-12330.7060993176,111
gen_monsoonal_bio_monsoonal,total_monsoons,-23284.1456471668,111
gen_annual_bio_annual,annual,-31177.5163567736,111
gen_total_bio_total,total_years,-39952.2352589758,111
gen_monsoonal_bio_total,monsoonal,-17504.3894675268,112
gen_monsoonal_bio_monsoonal,total_monsoons,-28565.5978040336,112
gen_annual_bio_annual,annual,-30829.9093538004,112
gen_total_bio_total,total_years,-39966.4518571162,112
gen_monsoonal_bio_total,monsoonal,-13435.5520639436,113
gen_monsoonal_bio_monsoonal,total_monsoons,-23689.9073173052,113
gen_total_bio_total,total_years,-29043.7753216543,113
gen_annual_bio_annual,annual,-31934.1928370754,113
gen_monsoonal_bio_total,monsoonal,-15177.4967506555,114
gen_monsoonal_bio_monsoonal,total_monsoons,-25424.7386849531,114
gen_total_bio_total,total_years,-28901.0499305544,114
gen_annual_bio_annual,annual,-29454.7531375515,114
gen_monsoonal_bio_total,monsoonal,-14117.2362721838,115
gen_monsoonal_bio_monsoonal,total_monsoons,-23695.0434336539,115
gen_annual_bio_annual,annual,-30997.8026707591,115
gen_total_bio_total,total_years,-38227.8534005584,115
gen_monsoonal_bio_total,monsoonal,-13786.9127322056,116
gen_monsoonal_bio_monsoonal,total_monsoons,-24009.6249968867,116
gen_total_bio_total,total_years,-29951.8280409434,116
gen_annual_bio_annual,annual,-31493.5418823437,116
gen_monsoonal_bio_total,monsoonal,-16035.5218450854,117
gen_annual_bio_annual,annual,-26057.0230231626,117
gen_monsoonal_bio_monsoonal,total_monsoons,-28780.981165052,117
gen_total_bio_total,total_years,-29112.7407332342,117
gen_monsoonal_bio_total,monsoonal,-11874.0964872726,118
gen_monsoonal_bio_monsoonal,total_monsoons,-22458.6773362866,118
gen_annual_bio_annual,annual,-24404.3270380576,118
gen_total_bio_total,total_years,-38829.1374987364,118
gen_monsoonal_bio_total,monsoonal,-14354.6623441702,119
